CountyID,County,Pop,Pop_Disabled,Tot_Pop_BP,Tot_Pop_AP,ENG_SPK,ESP_SPK,OTHER_INDO_SPK,ASIAN_SPK,OTHER_LNG_SPK,HH_Tot,HH_White,HH_Hispanic,HH_Black,HH_American_Indian,HH_Asian,HH_Pacific_Islander,HH_Pacific_Other,HH_White_Not_Hisp,HH_Over_65,HH_Under_65
41001,Baker ,16055,3081,2801,12794,14646,346,162,34,11,8806,6927,126,0,45,18,2,16,6829,4767,2353
41003,Benton ,85989,8524,18235,62549,72335,4070,1872,406,1036,36438,30190,1713,280,224,1613,28,377,28956,26739,6645
41005,Clackamas ,380532,43647,36946,340907,316935,20075,10541,3066,1505,157541,135400,7251,996,903,4367,174,1280,130333,112803,33724
41007,Clatsop ,37157,6557,5973,29897,32292,1948,457,131,146,21601,14684,812,50,79,212,0,288,14213,11492,4257
41009,Columbia ,49333,6838,6659,42161,44331,1377,454,106,123,20614,18100,588,38,245,185,13,199,17736,14630,4439
41011,Coos ,62753,13606,10966,50288,56952,1378,849,115,71,30467,24200,908,137,590,236,21,146,23586,17126,8946
41013,Crook ,20894,4324,4036,16702,18869,743,205,0,13,10202,8493,438,0,67,11,0,136,8220,5991,2889
41015,Curry ,22361,5577,3341,18861,20496,628,284,25,38,12566,9837,446,27,214,34,0,92,9483,6247,4108
41017,Deschutes ,160565,20174,23119,135946,141437,7225,1520,284,117,80360,61466,3039,202,490,670,100,759,59322,48651,15917
41019,Douglas ,107286,22641,19887,86086,97697,2222,1068,115,256,48754,41484,1260,91,591,214,28,281,40535,29396,14450
41021,Gilliam ,1915,409,224,1675,1684,112,13,0,0,1122,845,40,7,6,0,6,6,811,634,249
41023,Grant ,7359,1514,1255,6010,6873,109,27,4,0,4317,3226,62,2,10,0,0,7,3173,2224,1095
41025,Harney ,7314,1455,1334,5853,6704,62,70,6,76,3805,2933,45,8,70,20,4,14,2904,2244,869
41027,Hood River ,22427,2183,2580,19670,15030,5701,111,23,0,9314,7687,1467,22,43,89,13,227,6484,6241,1903
41029,Jackson ,205117,33932,34940,167586,174881,14123,2192,403,335,90902,78149,5746,413,706,756,151,822,73673,59422,23718
41031,Jefferson ,21461,3531,4074,16553,16433,2869,56,13,439,9774,5950,1097,28,1022,55,80,619,5559,5900,1982
41033,Josephine ,82783,14268,16515,65178,75154,2109,912,178,68,37944,33025,1570,78,449,140,13,78,31650,22387,12003
41035,Klamath,66211,12269,12315,52512,56684,4162,750,121,300,32727,24623,1950,262,1058,177,16,472,23391,19844,7534
41037,Lake,7862,1589,1497,5948,7189,353,10,0,15,4407,3311,176,38,31,15,1,92,3249,2609,957
41039,Lane ,353382,52009,69183,276726,305442,16150,5883,1237,1765,156118,132961,7205,1011,1446,2984,196,2124,128501,109739,35173
41041,Lincoln ,46070,9301,7301,38258,40751,2248,290,157,33,30550,19243,974,50,419,174,103,343,18648,14087,6826
41043,Linn ,117648,19311,20724,95384,102162,5884,1250,202,238,48795,42219,2121,146,699,420,41,499,40766,32952,11770
41045,Malheur ,30898,4732,7647,20234,21681,6486,207,162,56,11637,8754,2298,68,45,195,7,799,7537,7290,2846
41047,Marion ,318441,44137,57393,251101,220594,59868,8308,1336,1420,121245,98340,17162,831,1232,1863,609,7459,89049,87064,26221
41049,Morrow ,11218,1660,2011,9184,7365,2953,53,0,0,4426,3407,804,4,20,12,9,160,2809,2884,857
41051,Multnomah ,747641,90223,130507,602132,564229,57696,31868,10980,7807,325163,254783,22181,16013,2387,15715,1157,6861,241072,253327,52612
41053,Polk ,75930,10253,12204,61877,62145,6716,904,353,247,30283,25631,2302,123,376,511,70,601,24209,21164,7075
41055,Sherman ,1865,348,408,1439,1707,34,10,0,0,938,793,16,1,9,0,0,7,784,536,291
41057,Tillamook ,25300,3835,3963,20556,22181,1616,154,7,22,18373,9725,550,7,83,45,19,215,9406,6881,3355
41059,Umatilla ,76306,9636,11971,60399,55952,13468,496,74,285,29638,24331,4506,143,474,136,8,888,20947,20641,6103
41061,Union ,25741,4207,4672,20439,22904,789,200,54,7,11464,9755,231,9,40,116,56,18,9559,7590,2645
41063,Wallowa ,6924,1356,917,5929,6403,82,77,0,0,4081,2922,33,14,16,0,3,11,2892,1995,1001
41065,Wasco ,25281,3958,4502,20238,20087,3041,177,40,231,11438,8970,685,2,292,24,55,188,8500,6889,2723
41067,Washington ,539608,51424,60620,472815,384704,61970,19817,7975,4458,213520,167607,20292,3330,1352,15994,863,8153,156629,165298,36473
41069,Wheeler ,1292,253,197,1065,1221,21,2,0,0,896,600,9,0,4,1,0,5,596,362,263
41071,Yamhill ,99802,14106,13784,80333,80488,10526,1404,264,160,37137,31103,3117,153,337,425,29,1406,29590,25553,8585
