GISJOIN,STATEA,COUNTYA,TRACTA,BLKGRPA,not_hispanic_or_latino_white_alone,not_hispanic_or_latino_black_or_african_american_alone,not_hispanic_or_latino_american_indian_and_alaska_native_alone,not_hispanic_or_latino_asian_alone,not_hispanic_or_latino_native_hawaiian_and_other_pacific,not_hispanic_or_latino_some_other_race_alone,not_hispanic_or_latino_two_or_more_races,hispanic__or__latino
G41000109501001,41,1,950100,1,628,13,22,0,0,0,14,23
G41000109501002,41,1,950100,2,748,7,2,0,0,0,2,21
G41000109501003,41,1,950100,3,1214,0,0,0,0,0,10,12
G41000109502001,41,1,950200,1,1097,0,0,7,0,0,0,0
G41000109502002,41,1,950200,2,908,0,112,37,0,0,0,105
G41000109502003,41,1,950200,3,748,13,21,0,0,0,12,82
G41000109503001,41,1,950300,1,783,0,0,0,0,0,18,21
G41000109503002,41,1,950300,2,950,0,0,14,0,0,0,0
G41000109503003,41,1,950300,3,582,0,3,0,0,0,7,16
G41000109504001,41,1,950400,1,1657,0,4,0,0,0,8,14
G41000109504002,41,1,950400,2,514,0,0,15,0,0,0,0
G41000109504003,41,1,950400,3,699,0,0,0,0,0,53,11
G41000109505001,41,1,950500,1,1810,4,8,9,0,0,79,140
G41000109505002,41,1,950500,2,755,8,33,0,1,0,71,22
G41000109506001,41,1,950600,1,474,0,0,0,0,0,0,6
G41000109506002,41,1,950600,2,585,0,0,0,0,0,42,8
G41000109506003,41,1,950600,3,674,0,1,0,2,0,8,12
G41000300001001,41,3,100,1,1403,0,0,65,0,23,7,18
G41000300001002,41,3,100,2,1064,0,0,111,0,0,28,138
G41000300001003,41,3,100,3,1310,0,0,98,0,0,81,95
G41000300001004,41,3,100,4,2585,24,0,26,0,0,0,276
G41000300002021,41,3,202,1,1369,73,0,51,0,0,8,0
G41000300002022,41,3,202,2,3006,0,0,184,0,22,12,145
G41000300004001,41,3,400,1,1520,0,23,255,0,0,10,82
G41000300004002,41,3,400,2,2501,0,44,339,0,0,41,35
G41000300004003,41,3,400,3,1372,0,0,235,0,12,49,52
G41000300004004,41,3,400,4,1042,0,0,10,0,0,0,37
