GISJOIN,STATEA,COUNTYA,TRACTA,BLKGRPA,from_5_to_17_years,from_5_to_17_years_speak_only_english,from_5_to_17_years_speak_spanish,from_5_to_17_years_speak_spanish_very_well,from_5_to_17_years_speak_spanish_well,from_5_to_17_years_speak_spanish_not_well,from_5_to_17_years_speak_spanish_not_at_all,from_5_to_17_years_speak_indo_european,from_5_to_17_years_speak_indo_european_very_well,from_5_to_17_years_speak_indo_european_well,from_5_to_17_years_speak_indo_european_not_well,from_5_to_17_years_speak_indo_european_not_at_all,from_5_to_17_years_speak_asian_and_pacific_island,from_5_to_17_years_speak_asian_and_pacific_island_very_well,from_5_to_17_years_speak_asian_and_pacific_island_well,from_5_to_17_years_speak_asian_and_pacific_island_not_well,from_5_to_17_years_speak_asian_and_pacific_island_not_at_all,from_5_to_17_years_speak_other,from_5_to_17_years_speak_other_very_well,from_5_to_17_years_speak_other_well,from_5_to_17_years_speak_other_not_well,from_5_to_17_years_speak_other_not_at_all,from_18_to_64_years,from_18_to_64_years_speak_only_english,from_18_to_64_years_speak_spanish,from_18_to_64_years_speak_spanish_very_well,from_18_to_64_years_speak_spanish_well,from_18_to_64_years_speak_spanish_not_well,from_18_to_64_years_speak_spanish_not_at_all,from_18_to_64_years_speak_indo_european,from_18_to_64_years_speak_indo_european_very_well,from_18_to_64_years_speak_indo_european_well,from_18_to_64_years_speak_indo_european_not_well,from_18_to_64_years_speak_indo_european_not_at_all,from_18_to_64_years_speak_asian_and_pacific_island,from_18_to_64_years_speak_asian_and_pacific_island_very_well,from_18_to_64_years_speak_asian_and_pacific_island_well,from_18_to_64_years_speak_asian_and_pacific_island_not_well,from_18_to_64_years_speak_asian_and_pacific_island_not_at_all,from_18_to_64_years_speak_other,from_18_to_64_years_speak_other_very_well,from_18_to_64_years_speak_other_well,from_18_to_64_years_speak_other_not_well,from_18_to_64_years_speak_other_not_at_all,from_64_to_over,from_64_to_over_speak_only_english,from_64_to_over_speak_spanish,from_64_to_over_speak_spanish_very_well,from_64_to_over_speak_spanish_well,from_64_to_over_speak_spanish_not_well,from_64_to_over_speak_spanish_not_at_all,from_64_to_over_speak_indo_european,from_64_to_over_speak_indo_european_very_well,from_64_to_over_speak_indo_european_well,from_64_to_over_speak_indo_european_not_well,from_64_to_over_speak_indo_european_not_at_all,from_64_to_over_speak_asian_and_pacific_island,from_64_to_over_speak_asian_and_pacific_island_very_well,from_64_to_over_speak_asian_and_pacific_island_well,from_64_to_over_speak_asian_and_pacific_island_not_well,from_64_to_over_speak_asian_and_pacific_island_not_at_all,from_64_to_over_speak_other,from_64_to_over_speak_other_very_well,from_64_to_over_speak_other_well,from_64_to_over_speak_other_not_well,from_64_to_over_speak_other_not_at_all
G41000109501001,41,1,950100,1,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,348,1,0,0,1,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,260,250,8,8,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
G41000109501002,41,1,950100,2,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,454,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109501003,41,1,950100,3,164,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,849,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109502001,41,1,950200,1,195,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109502002,41,1,950200,2,385,300,34,7,0,27,0,42,42,0,0,0,9,9,0,0,0,0,0,0,0,0,481,400,61,17,0,44,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,0,194,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
G41000109502003,41,1,950200,3,107,86,7,7,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,558,464,87,76,0,11,0,7,0,4,3,0,0,0,0,0,0,0,0,0,0,0,202,195,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109503001,41,1,950300,1,160,140,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485,445,29,29,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,109,101,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109503002,41,1,950300,2,103,91,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109503003,41,1,950300,3,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,271,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,218,215,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
G41000109504001,41,1,950400,1,229,207,0,0,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,957,937,8,0,0,8,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109504002,41,1,950400,2,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,372,0,0,0,0,0,0,0,0,0,0,15,8,7,0,0,0,0,0,0,0,103,87,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0
G41000109504003,41,1,950400,3,202,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109505001,41,1,950500,1,336,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,1200,24,24,0,0,0,9,9,0,0,0,5,5,0,0,0,0,0,0,0,0,389,384,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109505002,41,1,950500,2,106,103,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,680,638,32,14,18,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,99,94,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109506001,41,1,950600,1,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,253,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,177,172,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0
G41000109506002,41,1,950600,2,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000109506003,41,1,950600,3,71,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,399,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,213,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300001001,41,3,100,1,291,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,1100,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,80,62,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300001002,41,3,100,2,118,53,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210,901,240,72,50,52,66,13,13,0,0,0,56,0,56,0,0,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300001003,41,3,100,3,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1065,897,40,25,0,15,0,66,43,11,12,0,62,50,0,12,0,0,0,0,0,0,163,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300001004,41,3,100,4,438,361,77,23,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098,1882,127,13,36,78,0,81,58,23,0,0,8,0,8,0,0,0,0,0,0,0,280,256,17,17,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0
G41000300002021,41,3,202,1,283,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,761,0,0,0,0,0,38,38,0,0,0,41,41,0,0,0,0,0,0,0,0,380,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300002022,41,3,202,2,306,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,59,69,0,0,2285,1694,89,89,0,0,0,285,255,30,0,0,48,29,19,0,0,169,18,133,18,0,619,611,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0
G41000300004001,41,3,400,1,94,82,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1339,1055,109,92,17,0,0,39,39,0,0,0,119,105,14,0,0,17,17,0,0,0,294,230,0,0,0,0,0,64,50,14,0,0,0,0,0,0,0,0,0,0,0,0
G41000300004002,41,3,400,2,737,641,0,0,0,0,0,33,33,0,0,0,41,41,0,0,0,22,22,0,0,0,1665,1388,15,15,0,0,0,67,67,0,0,0,175,115,38,22,0,20,20,0,0,0,464,373,17,17,0,0,0,59,23,11,25,0,15,0,15,0,0,0,0,0,0,0
G41000300004003,41,3,400,3,237,153,0,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0,0,0,1172,1032,0,0,0,0,0,13,13,0,0,0,127,43,84,0,0,0,0,0,0,0,256,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300004004,41,3,400,4,159,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,282,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
G41000300005001,41,3,500,1,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,168,3,0,0,0,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300005002,41,3,500,2,223,200,16,12,0,4,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,699,628,7,0,4,3,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,368,302,44,44,0,0,0,8,8,0,0,0,14,0,14,0,0,0,0,0,0,0
G41000300005003,41,3,500,3,269,254,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,624,33,33,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300006001,41,3,600,1,274,194,80,67,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1297,1068,217,153,42,22,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,258,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300006002,41,3,600,2,134,119,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31,0,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300006003,41,3,600,3,330,211,47,47,0,0,0,59,59,0,0,0,13,13,0,0,0,0,0,0,0,0,1159,933,124,89,0,35,0,42,0,25,17,0,60,31,29,0,0,0,0,0,0,0,362,319,22,22,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0
G41000300009001,41,3,900,1,190,161,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,522,487,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,249,209,0,0,0,0,0,13,13,0,0,0,27,0,27,0,0,0,0,0,0,0
G41000300009002,41,3,900,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,899,24,14,10,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,81,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300009003,41,3,900,3,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231,1117,15,15,0,0,0,0,0,0,0,0,99,61,38,0,0,0,0,0,0,0,105,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300009004,41,3,900,4,233,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,756,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,122,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G41000300009005,41,3,900,5,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,709,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,168,157,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
