GISJOIN,STATEA,COUNTYA,TRACTA,BLKGRPA,below_poverty_total,above_poverty_total
G41000109501001,41,1,950100,1,106,594
G41000109501002,41,1,950100,2,81,708
G41000109501003,41,1,950100,3,103,1131
G41000109502001,41,1,950200,1,0,1106
G41000109502002,41,1,950200,2,487,680
G41000109502003,41,1,950200,3,116,771
G41000109503001,41,1,950300,1,94,728
G41000109503002,41,1,950300,2,149,811
G41000109503003,41,1,950300,3,153,455
G41000109504001,41,1,950400,1,365,1284
G41000109504002,41,1,950400,2,54,475
G41000109504003,41,1,950400,3,173,590
G41000109505001,41,1,950500,1,469,1591
G41000109505002,41,1,950500,2,165,344
G41000109506001,41,1,950600,1,32,448
G41000109506002,41,1,950600,2,171,464
G41000109506003,41,1,950600,3,83,614
G41000300001001,41,3,100,1,256,1312
G41000300001002,41,3,100,2,501,1037
G41000300001003,41,3,100,3,274,1310
G41000300001004,41,3,100,4,740,2171
G41000300002021,41,3,202,1,131,1374
G41000300002022,41,3,202,2,621,2748
G41000300004001,41,3,400,1,636,1308
G41000300004002,41,3,400,2,201,2759
G41000300004003,41,3,400,3,131,1610
G41000300004004,41,3,400,4,92,994
G41000300005001,41,3,500,1,0,688
G41000300005002,41,3,500,2,60,1230
G41000300005003,41,3,500,3,270,928
G41000300006001,41,3,600,1,454,1531
G41000300006002,41,3,600,2,457,557
G41000300006003,41,3,600,3,475,1319
G41000300009001,41,3,900,1,12,1007
G41000300009002,41,3,900,2,627,348
G41000300009003,41,3,900,3,270,1189
G41000300009004,41,3,900,4,7,1153
G41000300009005,41,3,900,5,311,731
G41000300010011,41,3,1001,1,488,1085
G41000300010012,41,3,1001,2,707,805
G41000300010013,41,3,1001,3,306,979
G41000300010021,41,3,1002,1,321,641
G41000300010022,41,3,1002,2,355,1017
G41000300010023,41,3,1002,3,72,671
G41000300011011,41,3,1101,1,538,242
G41000300011012,41,3,1101,2,669,265
G41000300011013,41,3,1101,3,533,218
G41000300011014,41,3,1101,4,118,50
G41000300011021,41,3,1102,1,362,453
G41000300011022,41,3,1102,2,581,443
G41000300011023,41,3,1102,3,821,575
G41000300011024,41,3,1102,4,631,162
G41000300101001,41,3,10100,1,31,731
G41000300101002,41,3,10100,2,58,1852
G41000300101003,41,3,10100,3,94,2403
G41000300101004,41,3,10100,4,0,1348
G41000300101005,41,3,10100,5,46,1639
G41000300102001,41,3,10200,1,253,1875
G41000300102002,41,3,10200,2,55,1014
G41000300102003,41,3,10200,3,68,932
G41000300103001,41,3,10300,1,51,1178
G41000300103002,41,3,10300,2,118,898
G41000300103003,41,3,10300,3,153,764
G41000300104001,41,3,10400,1,145,458
G41000300104002,41,3,10400,2,56,832
G41000300104003,41,3,10400,3,682,2222
G41000300106001,41,3,10600,1,285,712
G41000300106002,41,3,10600,2,474,220
G41000300106003,41,3,10600,3,547,592
G41000300106004,41,3,10600,4,256,43
G41000300107021,41,3,10702,1,498,768
G41000300107022,41,3,10702,2,0,0
G41000300107023,41,3,10702,3,289,314
G41000300108001,41,3,10800,1,199,944
G41000300108002,41,3,10800,2,254,645
G41000300108003,41,3,10800,3,60,1471
G41000300109001,41,3,10900,1,223,1687
G41000300109002,41,3,10900,2,312,2192
G41000500201001,41,5,20100,1,53,1790
G41000500201002,41,5,20100,2,183,688
G41000500201003,41,5,20100,3,225,762
G41000500202001,41,5,20200,1,119,934
G41000500202002,41,5,20200,2,39,1011
G41000500202003,41,5,20200,3,48,899
G41000500202004,41,5,20200,4,119,1865
G41000500202005,41,5,20200,5,34,1071
G41000500203021,41,5,20302,1,125,964
G41000500203022,41,5,20302,2,103,2555
G41000500203031,41,5,20303,1,83,1626
G41000500203032,41,5,20303,2,98,1220
G41000500203033,41,5,20303,3,237,1877
G41000500203041,41,5,20304,1,101,2277
G41000500203042,41,5,20304,2,159,1209
G41000500203043,41,5,20304,3,356,1877
G41000500204011,41,5,20401,1,59,1133
G41000500204012,41,5,20401,2,22,766
G41000500204013,41,5,20401,3,191,1198
G41000500204014,41,5,20401,4,33,1379
G41000500204031,41,5,20403,1,65,2354
G41000500204032,41,5,20403,2,8,1042
G41000500204041,41,5,20404,1,50,1772
G41000500204042,41,5,20404,2,85,1895
G41000500205011,41,5,20501,1,52,1065
G41000500205012,41,5,20501,2,288,2652
G41000500205013,41,5,20501,3,0,2808
G41000500205031,41,5,20503,1,67,1147
G41000500205032,41,5,20503,2,29,882
G41000500205041,41,5,20504,1,17,931
G41000500205042,41,5,20504,2,107,2232
G41000500205043,41,5,20504,3,215,2823
G41000500205051,41,5,20505,1,117,1373
G41000500205052,41,5,20505,2,28,1254
G41000500206001,41,5,20600,1,89,1615
G41000500206002,41,5,20600,2,111,3151
G41000500206003,41,5,20600,3,65,3019
G41000500207001,41,5,20700,1,13,797
G41000500207002,41,5,20700,2,106,1830
G41000500207003,41,5,20700,3,160,864
G41000500208001,41,5,20800,1,226,1275
G41000500208002,41,5,20800,2,292,700
G41000500208003,41,5,20800,3,378,1273
G41000500209001,41,5,20900,1,57,1054
G41000500209002,41,5,20900,2,113,902
G41000500209003,41,5,20900,3,233,1216
G41000500210001,41,5,21000,1,201,734
G41000500210002,41,5,21000,2,348,1999
G41000500210003,41,5,21000,3,134,1045
G41000500211001,41,5,21100,1,79,1136
G41000500211002,41,5,21100,2,168,1225
G41000500211003,41,5,21100,3,194,1026
G41000500211004,41,5,21100,4,227,1819
G41000500212001,41,5,21200,1,255,1120
G41000500212002,41,5,21200,2,205,529
G41000500212003,41,5,21200,3,222,1553
G41000500213001,41,5,21300,1,387,3223
G41000500213002,41,5,21300,2,205,1467
G41000500213003,41,5,21300,3,26,940
G41000500214001,41,5,21400,1,186,2532
G41000500214002,41,5,21400,2,128,948
G41000500214003,41,5,21400,3,177,819
G41000500215001,41,5,21500,1,124,1756
G41000500215002,41,5,21500,2,168,2732
G41000500216011,41,5,21601,1,284,953
G41000500216012,41,5,21601,2,547,2068
G41000500216013,41,5,21601,3,170,847
G41000500216014,41,5,21601,4,102,530
G41000500216021,41,5,21602,1,319,1805
G41000500216022,41,5,21602,2,133,557
G41000500216023,41,5,21602,3,289,1917
G41000500217001,41,5,21700,1,222,2365
G41000500217002,41,5,21700,2,126,1394
G41000500217003,41,5,21700,3,195,1790
G41000500218011,41,5,21801,1,226,1584
G41000500218012,41,5,21801,2,23,1250
G41000500218013,41,5,21801,3,57,2092
G41000500218021,41,5,21802,1,144,1481
G41000500218022,41,5,21802,2,659,1961
G41000500219001,41,5,21900,1,650,2017
G41000500219002,41,5,21900,2,89,979
G41000500220001,41,5,22000,1,130,2021
G41000500220002,41,5,22000,2,369,2149
G41000500220003,41,5,22000,3,265,1641
G41000500221011,41,5,22101,1,398,1922
G41000500221012,41,5,22101,2,32,1133
G41000500221013,41,5,22101,3,336,1399
G41000500221014,41,5,22101,4,281,1721
G41000500221031,41,5,22103,1,182,3358
G41000500221032,41,5,22103,2,77,3123
G41000500221051,41,5,22105,1,64,1306
G41000500221052,41,5,22105,2,85,2284
G41000500221053,41,5,22105,3,262,1995
G41000500221071,41,5,22107,1,348,2451
G41000500221072,41,5,22107,2,173,737
G41000500221081,41,5,22108,1,149,971
G41000500221082,41,5,22108,2,705,1143
G41000500222011,41,5,22201,1,257,554
G41000500222012,41,5,22201,2,363,1762
G41000500222013,41,5,22201,3,314,1452
G41000500222051,41,5,22205,1,111,1069
G41000500222052,41,5,22205,2,1,2101
G41000500222061,41,5,22206,1,248,2091
G41000500222062,41,5,22206,2,248,3871
G41000500222071,41,5,22207,1,17,3504
G41000500222072,41,5,22207,2,0,1634
G41000500222081,41,5,22208,1,118,3300
G41000500222082,41,5,22208,2,295,2757
G41000500223011,41,5,22301,1,223,1641
G41000500223012,41,5,22301,2,39,899
G41000500223013,41,5,22301,3,213,721
G41000500223021,41,5,22302,1,17,2116
G41000500223022,41,5,22302,2,172,1777
G41000500223023,41,5,22302,3,279,942
G41000500224001,41,5,22400,1,83,965
G41000500224002,41,5,22400,2,193,1052
G41000500224003,41,5,22400,3,105,497
G41000500224004,41,5,22400,4,23,678
G41000500224005,41,5,22400,5,91,403
G41000500225001,41,5,22500,1,835,2062
G41000500225002,41,5,22500,2,320,1670
G41000500225003,41,5,22500,3,186,2026
G41000500225004,41,5,22500,4,204,442
G41000500226021,41,5,22602,1,90,1747
G41000500226022,41,5,22602,2,75,1877
G41000500226031,41,5,22603,1,584,2571
G41000500226051,41,5,22605,1,95,1700
G41000500226052,41,5,22605,2,141,2868
G41000500226053,41,5,22605,3,35,2409
G41000500226061,41,5,22606,1,463,3955
G41000500227021,41,5,22702,1,270,2704
G41000500227022,41,5,22702,2,46,1548
G41000500227023,41,5,22702,3,14,1235
G41000500227024,41,5,22702,4,50,1546
G41000500227071,41,5,22707,1,15,846
G41000500227072,41,5,22707,2,491,2821
G41000500227081,41,5,22708,1,21,1438
G41000500227082,41,5,22708,2,405,2593
G41000500227101,41,5,22710,1,561,2157
G41000500228001,41,5,22800,1,68,655
G41000500228002,41,5,22800,2,51,1574
G41000500228003,41,5,22800,3,28,607
G41000500228004,41,5,22800,4,17,789
G41000500229011,41,5,22901,1,289,2988
G41000500229041,41,5,22904,1,284,1707
G41000500229042,41,5,22904,2,71,1311
G41000500229051,41,5,22905,1,63,863
G41000500229052,41,5,22905,2,8,1373
G41000500229053,41,5,22905,3,183,1270
G41000500229061,41,5,22906,1,254,1143
G41000500229062,41,5,22906,2,183,1354
G41000500229071,41,5,22907,1,16,2234
G41000500229072,41,5,22907,2,1172,1041
G41000500230011,41,5,23001,1,199,1814
G41000500230012,41,5,23001,2,99,891
G41000500230021,41,5,23002,1,80,1294
G41000500230022,41,5,23002,2,232,1419
G41000500231001,41,5,23100,1,14,2626
G41000500231002,41,5,23100,2,269,1184
G41000500231003,41,5,23100,3,216,2019
G41000500232011,41,5,23201,1,92,1863
G41000500232012,41,5,23201,2,150,2332
G41000500232021,41,5,23202,1,0,797
G41000500232022,41,5,23202,2,234,1628
G41000500232023,41,5,23202,3,128,3905
G41000500233001,41,5,23300,1,153,1450
G41000500233002,41,5,23300,2,74,1052
G41000500233003,41,5,23300,3,64,1617
G41000500234011,41,5,23401,1,263,1683
G41000500234012,41,5,23401,2,264,1393
G41000500234013,41,5,23401,3,25,563
G41000500234031,41,5,23403,1,128,4366
G41000500234041,41,5,23404,1,13,1155
G41000500234042,41,5,23404,2,249,1710
G41000500234043,41,5,23404,3,225,1213
G41000500234044,41,5,23404,4,70,1391
G41000500235001,41,5,23500,1,73,1273
G41000500235002,41,5,23500,2,259,1192
G41000500235003,41,5,23500,3,32,629
G41000500235004,41,5,23500,4,30,744
G41000500235005,41,5,23500,5,104,1045
G41000500236001,41,5,23600,1,64,1413
G41000500236002,41,5,23600,2,106,1410
G41000500236003,41,5,23600,3,147,1080
G41000500237001,41,5,23700,1,221,1139
G41000500237002,41,5,23700,2,80,537
G41000500237003,41,5,23700,3,52,1055
G41000500237004,41,5,23700,4,350,1564
G41000500238001,41,5,23800,1,17,1050
G41000500238002,41,5,23800,2,29,1054
G41000500238003,41,5,23800,3,0,679
G41000500238004,41,5,23800,4,292,2195
G41000500238005,41,5,23800,5,291,1347
G41000500239011,41,5,23901,1,646,4843
G41000500239021,41,5,23902,1,144,1381
G41000500239022,41,5,23902,2,225,1653
G41000500239023,41,5,23902,3,54,969
G41000500240001,41,5,24000,1,67,1751
G41000500240002,41,5,24000,2,26,882
G41000500241001,41,5,24100,1,116,1424
G41000500241002,41,5,24100,2,90,1720
G41000500241003,41,5,24100,3,28,1306
G41000500242001,41,5,24200,1,328,1085
G41000500242002,41,5,24200,2,300,2880
G41000500242003,41,5,24200,3,236,530
G41000500242004,41,5,24200,4,66,1196
G41000500243021,41,5,24302,1,242,1506
G41000500243022,41,5,24302,2,64,1413
G41000500243023,41,5,24302,3,141,1347
G41000500243031,41,5,24303,1,149,1708
G41000500243032,41,5,24303,2,86,953
G41000500243041,41,5,24304,1,65,1614
G41000500243042,41,5,24304,2,32,403
G41000500244001,41,5,24400,1,135,3294
G41000500244002,41,5,24400,2,188,941
G41000500244003,41,5,24400,3,174,1846
G41000509800001,41,5,980000,1,75,116
G41000709501001,41,7,950100,1,169,466
G41000709501002,41,7,950100,2,139,912
G41000709501003,41,7,950100,3,76,1220
G41000709502001,41,7,950200,1,296,805
G41000709502002,41,7,950200,2,299,471
G41000709502003,41,7,950200,3,115,1134
G41000709502004,41,7,950200,4,130,181
G41000709503001,41,7,950300,1,137,733
G41000709503002,41,7,950300,2,0,158
G41000709503003,41,7,950300,3,536,728
G41000709503004,41,7,950300,4,52,531
G41000709504001,41,7,950400,1,151,1124
G41000709504002,41,7,950400,2,160,1549
G41000709504003,41,7,950400,3,74,726
G41000709505001,41,7,950500,1,323,1045
G41000709505002,41,7,950500,2,445,669
G41000709505003,41,7,950500,3,264,1882
G41000709506001,41,7,950600,1,149,733
G41000709506002,41,7,950600,2,76,810
G41000709506003,41,7,950600,3,150,649
G41000709507001,41,7,950700,1,123,986
G41000709507002,41,7,950700,2,84,766
G41000709509001,41,7,950900,1,115,572
G41000709509002,41,7,950900,2,121,1076
G41000709509003,41,7,950900,3,240,571
G41000709509004,41,7,950900,4,119,661
G41000709509005,41,7,950900,5,18,497
G41000709509006,41,7,950900,6,76,150
G41000709511001,41,7,951100,1,246,1669
G41000709511002,41,7,951100,2,215,510
G41000709511003,41,7,951100,3,232,1066
G41000709511004,41,7,951100,4,64,444
G41000709512001,41,7,951200,1,66,1033
G41000709512002,41,7,951200,2,107,861
G41000709512003,41,7,951200,3,195,821
G41000709513001,41,7,951300,1,184,1324
G41000709513002,41,7,951300,2,48,764
G41000709900000,41,7,990000,0,0,0
G41000909702001,41,9,970200,1,321,764
G41000909702002,41,9,970200,2,163,1247
G41000909702003,41,9,970200,3,344,1530
G41000909702004,41,9,970200,4,54,1363
G41000909702005,41,9,970200,5,61,1118
G41000909703001,41,9,970300,1,93,806
G41000909703002,41,9,970300,2,107,638
G41000909703003,41,9,970300,3,165,626
G41000909703004,41,9,970300,4,157,658
G41000909703005,41,9,970300,5,31,590
G41000909704001,41,9,970400,1,148,978
G41000909704002,41,9,970400,2,61,1117
G41000909705001,41,9,970500,1,278,3235
G41000909705002,41,9,970500,2,135,879
G41000909705003,41,9,970500,3,28,784
G41000909705004,41,9,970500,4,30,701
G41000909706001,41,9,970600,1,135,2259
G41000909706002,41,9,970600,2,133,529
G41000909706003,41,9,970600,3,45,1291
G41000909706004,41,9,970600,4,49,1656
G41000909707001,41,9,970700,1,112,859
G41000909707002,41,9,970700,2,332,548
G41000909707003,41,9,970700,3,275,821
G41000909707004,41,9,970700,4,370,840
G41000909708001,41,9,970800,1,382,1230
G41000909708002,41,9,970800,2,437,1066
G41000909708003,41,9,970800,3,414,2910
G41000909709001,41,9,970900,1,372,1022
G41000909709002,41,9,970900,2,210,855
G41000909709003,41,9,970900,3,276,2133
G41000909710001,41,9,971000,1,310,1046
G41000909710002,41,9,971000,2,78,1837
G41000909710003,41,9,971000,3,203,1121
G41000909711001,41,9,971100,1,112,726
G41000909711002,41,9,971100,2,115,1186
G41000909711003,41,9,971100,3,123,1198
G41001100001001,41,11,100,1,205,688
G41001100001002,41,11,100,2,136,474
G41001100001003,41,11,100,3,97,1023
G41001100001004,41,11,100,4,111,920
G41001100001005,41,11,100,5,20,898
G41001100001006,41,11,100,6,110,1024
G41001100002001,41,11,200,1,190,628
G41001100002002,41,11,200,2,263,868
G41001100002003,41,11,200,3,153,604
G41001100003001,41,11,300,1,222,679
G41001100003002,41,11,300,2,43,496
G41001100003003,41,11,300,3,27,671
G41001100003004,41,11,300,4,197,867
G41001100004001,41,11,400,1,416,867
G41001100004002,41,11,400,2,0,686
G41001100004003,41,11,400,3,162,937
G41001100004004,41,11,400,4,0,611
G41001100004005,41,11,400,5,259,1292
G41001100004006,41,11,400,6,126,1032
G41001100005021,41,11,502,1,651,1262
G41001100005022,41,11,502,2,131,480
G41001100005031,41,11,503,1,400,995
G41001100005032,41,11,503,2,453,841
G41001100005041,41,11,504,1,466,684
G41001100005042,41,11,504,2,180,1011
G41001100005043,41,11,504,3,30,774
G41001100005044,41,11,504,4,437,465
G41001100005045,41,11,504,5,707,1797
G41001100006001,41,11,600,1,117,593
G41001100006002,41,11,600,2,24,576
G41001100006003,41,11,600,3,135,1059
G41001100007001,41,11,700,1,338,861
G41001100007002,41,11,700,2,122,565
G41001100007003,41,11,700,3,35,429
G41001100007004,41,11,700,4,194,342
G41001100007005,41,11,700,5,78,684
G41001100007006,41,11,700,6,121,1006
G41001100007007,41,11,700,7,37,749
G41001100007008,41,11,700,8,274,886
G41001100008001,41,11,800,1,91,872
G41001100008002,41,11,800,2,338,1601
G41001100009001,41,11,900,1,112,770
G41001100009002,41,11,900,2,145,1078
G41001100009003,41,11,900,3,19,1002
G41001100009004,41,11,900,4,39,815
G41001100009005,41,11,900,5,15,784
G41001100009006,41,11,900,6,117,799
G41001100009007,41,11,900,7,114,723
G41001100009008,41,11,900,8,186,423
G41001100010001,41,11,1000,1,239,590
G41001100010002,41,11,1000,2,118,1202
G41001100010003,41,11,1000,3,148,496
G41001100010004,41,11,1000,4,123,1375
G41001100010005,41,11,1000,5,149,568
G41001100010006,41,11,1000,6,52,1060
G41001100010007,41,11,1000,7,74,692
G41001100011001,41,11,1100,1,139,613
G41001100011002,41,11,1100,2,106,170
G41001100011003,41,11,1100,3,133,636
G41001100011004,41,11,1100,4,360,772
G41001100011005,41,11,1100,5,93,687
G41001100011006,41,11,1100,6,135,515
G41001100011007,41,11,1100,7,254,992
G41001109901010,41,11,990101,0,0,0
G41001309501001,41,13,950100,1,84,496
G41001309501002,41,13,950100,2,10,929
G41001309501003,41,13,950100,3,838,2955
G41001309501004,41,13,950100,4,171,552
G41001309501005,41,13,950100,5,292,720
G41001309502001,41,13,950200,1,181,1071
G41001309502002,41,13,950200,2,194,1089
G41001309502003,41,13,950200,3,410,672
G41001309502004,41,13,950200,4,94,635
G41001309503001,41,13,950300,1,146,627
G41001309503002,41,13,950300,2,294,976
G41001309503003,41,13,950300,3,404,559
G41001309503004,41,13,950300,4,141,286
G41001309503005,41,13,950300,5,164,1931
G41001309504001,41,13,950400,1,574,2712
G41001309504002,41,13,950400,2,39,492
G41001509501001,41,15,950100,1,123,852
G41001509501002,41,15,950100,2,355,1164
G41001509501003,41,15,950100,3,528,451
G41001509502001,41,15,950200,1,405,1174
G41001509502002,41,15,950200,2,173,1461
G41001509502003,41,15,950200,3,151,1306
G41001509503011,41,15,950301,1,79,1833
G41001509503012,41,15,950301,2,218,606
G41001509503013,41,15,950301,3,82,1524
G41001509503021,41,15,950302,1,123,1025
G41001509503022,41,15,950302,2,230,2215
G41001509503023,41,15,950302,3,132,1384
G41001509504001,41,15,950400,1,439,1137
G41001509504002,41,15,950400,2,102,431
G41001509504003,41,15,950400,3,120,1535
G41001509504004,41,15,950400,4,81,801
G41001509901010,41,15,990101,0,0,0
G41001700001001,41,17,100,1,81,1879
G41001700002001,41,17,200,1,513,1061
G41001700002002,41,17,200,2,231,938
G41001700002003,41,17,200,3,399,736
G41001700002004,41,17,200,4,115,729
G41001700003001,41,17,300,1,503,2806
G41001700003002,41,17,300,2,257,1869
G41001700003003,41,17,300,3,287,983
G41001700003004,41,17,300,4,184,1414
