countyid,2015,2020,2025,2030,2035,2040,2045,2050
41001,16235,16315,16373,16395,16371,16325,16267,16238
41003,87977,91379,94984,98516,101848,105050,108297,111666
41005,393217,422576,454311,485054,512731,537753,561011,583814
41007,37604,38461,39358,40072,40521,40751,40934,41149
41009,51319,54517,58012,61273,64130,66683,69053,71406
41011,63299,64098,64816,65210,65172,64934,64695,64654
41013,21124,21933,22793,23821,24974,26117,27270,28496
41015,22321,23087,23854,24440,24751,24912,25019,25187
41017,166892,182455,198650,214288,228501,241223,252555,262958
41019,110562,116113,121715,126642,130550,133786,136710,139675
41021,1958,2062,2172,2280,2378,2472,2567,2672
41023,7414,7321,7199,7029,6785,6486,6158,5840
41025,7425,7404,7358,7280,7175,7066,6960,6861
41027,23675,25628,27827,29979,31909,33530,34888,36066
41029,210015,223458,238955,253274,265624,276551,286648,296388
41031,22625,24054,25593,26995,28239,29413,30534,31595
41033,85313,90776,96468,101596,105829,109526,112906,116217
41035,67292,68853,70331,71483,72243,72835,73446,74111
41037,7919,7936,7948,7931,7893,7865,7856,7880
41039,361474,378335,394921,410247,424117,437345,450866,464839
41041,47590,49535,51371,52857,53895,54688,55421,56245
41043,121142,128454,136224,143673,150395,156505,162360,168189
41045,32033,32723,33377,33906,34287,34528,34708,34837
41047,331643,355189,381089,406612,430652,453557,476060,498624
41049,11668,12307,13011,13726,14373,14964,15527,16098
41051,768632,807198,845356,879987,909947,936729,960930,982504
41053,80204,88081,96731,105274,113348,121044,128496,135877
41055,1735,1716,1718,1731,1745,1758,1767,1782
41057,25733,26760,27791,28723,29485,30127,30716,31328
41059,78887,83359,88366,93673,98820,103809,108860,114054
41061,26964,28216,29419,30530,31548,32572,34211,35973
41063,7070,7058,7016,6954,6865,6744,6604,6476
41065,26037,27388,28827,30186,31359,32405,33351,34274
41067,570672,622368,677017,731125,782316,830100,874372,915979
41069,1407,1378,1353,1332,1311,1285,1266,1250
41071,104525,113611,123897,133907,143117,151564,159512,167300
